Diseases,DiseasesGroups,Number of Cases,Social History,Family History,Adhd,Alcohol Dependency,Analgesic,Antacid (H2),Antidiabetic ,Anticoagulant,Antibiotic ,Antidepressant,Antiepileptic,Antifungal,Antihistamine,Antihypertensive,High Blood Pressure,Cholesterol,Depression,High Blood Pressure,Hormone replacement,"Ulcer, Heartburn",Discharge Condition
Aphasia,Nervous System,0,Cluster 1,Cluster 4,0,0,0,0,0,100,0,884,20,23,53,0,0,0,0,0,0,0,Transfer
Apraxia,Nervous System,1016,Cluster 2,Cluster 1,0,0,0,0,0,100,0,884,85,7,3,0,0,0,0,0,0,0,Stable
Arachnoid Cysts,Nervous System,36,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,7,72,17,0,0,0,0,0,0,0,Stable
Arachnoiditis,Nervous System,270,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,9,23,63,0,0,0,0,0,0,0,Stable
Arteriovenous Malformation,Nervous System,301,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,19,15,62,0,0,0,0,0,0,0,Stable
Asperger Syndrome,Nervous System,0,Cluster 3,Cluster 3,0.4,0,0,40,39,20,37,329,3,9,8,37,0,0,2,0,0,0,Stable
Ataxia Telangiectasia,Nervous System,73,Cluster 1,Cluster 1,0.2,0,0,9,5,34,52,333,3,17,12,52,2,0,1,0,0,0,Transfer
Ataxias and Cerebellar or Spinocerebellar Degeneration,Nervous System,0,Cluster 1,Cluster 3,1.9,0,0,16,10,3,79,84,1,2,0,79,0,0,1,2,0,0,Stable
Atrial Fibrillation and Stroke,Nervous System,27,Cluster 4,Cluster 1,1.9,0,0,16,10,3,79,84,1,0,0,79,0,0,1,2,0,0,Stable
Attention Deficit Hyperactivity Disorder,Nervous System,28,Cluster 1,Cluster 7,0.1,0,0,14,10,19,63,231,3,0,0,63,1,0,1,0,0,0,Stable
Autism,Nervous System,0,Cluster 1,Cluster 1,2,0,0,12,7,3,82,70,1,0,0,82,0,0,1,2,0,0,Stable
Autism Spectrum Disorder,Nervous System,0,Cluster 1,Cluster6,0.1,0,0,9,4,33,55,334,5,0,0,55,1,0,1,0,0,0,Stable
myalgic encephalomyelitis/ chronic fatigue syndrom,Visual System,0,Cluster 5,Cluster 1,0,0,0,24,6,33,40,390,5,9,18,40,1,0,1,0,0,0,Transfer
hemophilia,Visual System,0,Cluster 1,Cluster 2,0.2,0,0,2,2,35,59,326,5,8,20,59,2,0,1,0,0,0,Stable
american trypanosomiasi,Visual System,16,Cluster 2,Cluster 1,0.4,0,0,5,3,51,40,476,8,13,28,40,1,0,1,0,0,0,Stable
heart diseas,Visual System,21,Cluster 1,Cluster 1,1.8,0,0,26,7,1,68,115,0,0,0,68,2,0,1,2,0,0,Stable
swimmer itch,Visual System,0,Cluster 1,Cluster 2,0,0,0,13,4,3,78,86,1,1,1,78,2,0,1,0,0,0,Stable
heat stress,Visual System,0,Cluster 1,Cluster 3,0,0,0,3,3,7,80,99,3,2,2,80,5,0,1,0,0,0,Stable
pet-rel,Visual System,81,Cluster 1,Cluster 4,1.1,0,0,21,4,12,62,202,1,3,4,62,1,0,1,1,0,0,Transfer
sore mouth,Visual System,0,Cluster 2,Cluster 5,0.5,0,0,3,3,58,34,542,9,14,33,34,2,0,1,1,0,0,Stable
mouse control,Visual System,0,Cluster 1,Cluster 6,0.1,0,0,19,16,4,73,110,1,1,2,73,0,0,1,0,0,0,Stable
breastfeed,Visual System,0,Cluster 1,Cluster 7,0.1,0,0,24,20,33,40,390,5,9,18,40,1,0,1,0,0,0,Stable
copd,Visual System,0,Cluster 1,Cluster 8,0,0,0,16,16,45,37,457,6,8,21,37,1,0,1,0,0,0,Stable
swimming-related il,Visual System,0,Cluster 2,Cluster 9,0,0,0,16,16,45,37,459,6,8,21,37,1,0,0,0,0,0,Stable
childhood arthr,Visual System,3,Cluster 3,Cluster 1,2.2,0,0,32,16,0,65,132,0,0,0,65,0,0,1,2,0,0,Transfer
"afib, af",Visual System,2,Cluster 1,Cluster 2,0,0,0,27,26,13,59,200,2,3,8,59,0,0,1,0,0,0,Stable
endophthalm,Visual System,2,Cluster 1,Cluster 4,1.5,0,0,31,17,12,54,222,1,5,4,54,1,0,1,2,0,0,Stable
mucu,Visual System,0,Cluster 1,Cluster 1,1.1,0,0,29,28,13,54,233,1,6,5,54,1,0,0,1,0,0,Stable
belt,Visual System,190,Cluster 1,Cluster 2,0,0,0,3,0,70,24,631,18,0,0,24,0,0,1,0,0,0,Stable
vagin,Visual System,0,Cluster 2,Cluster 1,0,0,0,3,0,70,24,631,13,21,34,24,0,0,1,0,0,0,Stable
algal bloom,Visual System,0,Cluster 1,Cluster 2,0.1,0,0,7,7,43,45,427,6,9,23,45,2,0,1,0,0,0,Transfer
musculoskeletal disord,Circulatory System,0,Cluster 1,Cluster 3,0,0,0,15,9,10,69,157,3,4,2,69,4,0,1,0,0,0,Stable
blood disord,Circulatory System,6,Cluster 1,Cluster 1,0,0,0,3,3,50,47,449,9,15,24,47,0,0,0,0,0,0,Stable
canin,Circulatory System,5,Cluster 3,Cluster 3,0.8,0,0,29,18,10,57,207,1,6,3,57,1,0,1,1,0,0,Stable
outbreak,Circulatory System,116,Cluster 1,Cluster 1,0,0,0,10,8,28,56,291,4,6,13,56,0,0,1,0,0,0,Stable
chapareulc,Circulatory System,6,Cluster 1,Cluster 7,0,0,0,10,8,28,56,292,4,6,13,56,0,0,0,0,0,0,Transfer
recalled vaccin,Circulatory System,0,Cluster 4,Cluster 1,0.6,0,0,9,9,1,86,47,0,0,0,86,1,0,1,1,0,0,Transfer
lupus erythematosu,Circulatory System,2,Cluster 1,Cluster6,0.2,0,0,7,2,20,70,200,3,5,12,70,0,0,1,0,0,0,Death
prostate canc,Circulatory System,32,Cluster 1,Cluster 1,0,0,0,5,5,6,85,75,0,2,2,85,0,0,1,0,0,0,Stable
lou gehrig,Circulatory System,0,Cluster 1,Cluster 2,0,0,0,5,5,6,85,76,0,2,2,85,0,0,0,0,0,0,Transfer
diet and nutrit,Circulatory System,22,Cluster 5,Cluster 1,0,0,0,24,4,19,54,263,3,5,10,54,1,0,1,0,0,0,Stable
inflammatory bowel diseas,Circulatory System,0,Cluster 1,Cluster 1,0,0,0,24,6,33,40,390,5,9,18,40,1,0,1,0,0,0,Stable
pulmonary hypertens,Circulatory System,0,Cluster 2,Cluster 2,0,0,0,11,0,5,80,97,3,2,0,80,2,0,1,0,0,0,Stable
hereditary bleeding disord,Circulatory System,0,Cluster 1,,0,0,0,16,6,19,63,232,3,5,11,63,0,0,0,0,0,0,Death
upper respiratori,Circulatory System,0,Cluster 1,,0,0,0,16,6,48,35,482,8,11,28,35,0,0,0,0,0,0,Death
abdominal aortic aneurysm,Circulatory System,0,Cluster 1,,0,0,0,8,4,33,56,324,5,8,18,56,1,0,1,0,0,0,Transfer
women health,Circulatory System,0,Cluster 1,,0,0,0,3,0,79,15,717,9,13,55,15,1,0,1,0,0,0,Death
intestin,Circulatory System,96,Cluster 2,,0,0,0,3,1,79,15,718,12,20,42,15,1,0,1,0,0,0,Stable
kidney,Circulatory System,0,Cluster 1,,0,0,0,3,0,79,17,717,12,23,37,17,1,0,0,0,0,0,Stable
obesity genet,Circulatory System,0,Cluster 1,,0,0,0,4,2,61,32,564,11,15,33,32,1,0,1,0,0,0,Stable
Abdominal Adhesions,Digestive system,0,Cluster 1,,0.7,0,0,7,2,51,38,484,8,11,28,38,1,0,1,1,0,0,Stable
Acid Reflux (GER & GERD) in Adults,Digestive system,78,Cluster 2,,0.1,0,0,27,5,2,68,119,0,0,0,68,0,0,1,0,0,0,Transfer
Acid Reflux (GER & GERD) in Infants,Digestive system,79,Cluster 3,,1.1,0,0,21,4,12,62,196,1,3,4,62,1,0,1,1,0,0,Stable
Anatomic Problems of the Lower GI Tract,Digestive system,0,Cluster 1,,0.7,0,0,32,18,26,39,355,2,6,15,39,1,0,1,1,0,0,Stable
Appendicitis,Digestive system,0,Cluster 1,,0.3,0,0,28,22,4,65,141,1,1,2,65,1,0,1,0,0,0,Stable
Barrett's Esophagus,Digestive system,0,Cluster 2,,1,0,0,9,8,45,39,443,6,12,25,39,3,0,1,1,0,0,Stable
Bowel Control Problems (Fecal Incontinence),Digestive system,0,Cluster 1,,0.3,0,0,17,14,11,71,165,2,0,0,71,0,0,1,0,0,0,Stable
Celiac Disease,Digestive system,0,Cluster 1,,0,0,0,4,4,0,96,15,0,0,0,96,0,0,0,0,0,0,Transfer
Colon Polyps,Digestive system,23,Cluster 1,,3.3,0,0,29,17,1,66,132,0,0,1,66,1,0,1,3,0,0,Stable
Constipation,Digestive system,0,Cluster 2,,1.2,0,0,24,17,11,61,195,1,6,3,61,1,0,1,1,0,0,Stable
Crohn's Disease,Digestive system,592,Cluster 3,,0.8,0,0,15,15,35,47,370,5,8,18,47,1,0,1,1,0,0,Stable
Cyclic Vomiting Syndrome,Digestive system,0,Cluster 1,,0.4,0,0,22,15,34,41,389,5,7,20,41,1,0,1,0,0,0,Stable
Diarrhea,Digestive system,11,Cluster 1,,0,0,0,0,0,100,0,884,22,33,41,0,0,0,0,0,0,0,Stable
Diverticulosis & Diverticulitis,Digestive system,4,Cluster 1,,0,0,0,0,0,100,0,884,27,54,14,0,0,0,0,0,0,0,Transfer
Dumping Syndrome,Digestive system,0,Cluster 1,,0,0,0,0,0,100,0,884,91,2,1,0,0,0,0,0,0,0,Stable
Food Poisoning,Digestive system,47,Cluster 2,Cluster 1,0,0,0,0,0,100,0,900,45,39,9,0,0,0,0,0,0,0,Stable
Gallstones,Digestive system,0,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,48,41,8,0,0,0,0,0,0,0,Stable
Gas,Digestive system,0,Cluster 1,Cluster 4,0,0,0,0,0,100,0,884,21,74,0,0,0,0,0,0,0,0,Stable
Gastritis,Digestive system,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,25,43,27,0,0,0,0,0,0,0,Stable
Gastroparesis,Digestive system,0,Cluster 3,Cluster 2,0,0,0,0,0,100,0,900,36,41,19,0,0,0,0,0,0,0,Transfer
GI Bleeding,Digestive system,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,26,58,12,0,0,0,0,0,0,0,Stable
Hemorrhoids,Digestive system,0,Cluster 1,Cluster 2,0,0,0,0,0,100,0,884,66,30,1,0,0,0,0,0,0,0,Stable
Indigestion (Dyspepsia),Digestive system,0,Cluster 4,Cluster 3,0,0,0,0,0,100,0,900,40,44,11,0,0,0,0,0,0,0,Stable
Inguinal Hernia,Digestive system,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,25,45,26,0,0,0,0,0,0,0,Stable
Intestinal Pseudo-obstruction,Digestive system,125,Cluster 1,Cluster 3,0,0,0,0,0,100,0,884,17,41,36,0,0,0,0,0,0,0,Stable
Irritable Bowel Syndrome (IBS),Digestive system,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,19,71,5,0,0,0,0,0,0,0,Transfer
Lactose Intolerance,Digestive system,0,Cluster 5,Cluster 7,0,0,0,0,0,100,0,884,18,39,38,0,0,0,0,0,0,0,Stable
Liver Disease,Digestive system,0,Cluster 1,Cluster 1,0,0,0,0,0,100,0,884,30,51,14,0,0,0,0,0,0,0,Stable
Ménétrier’s Disease,Digestive system,0,,,0,0,0,0,0,100,0,884,29,30,37,0,0,0,0,0,0,0,Stable
Microscopic Colitis,Digestive system,41,,,0,0,0,0,0,100,0,884,20,37,38,0,0,0,0,0,0,0,Stable
Ostomy Surgery of the Bowel,Digestive system,0,,,0,0,0,0,0,100,0,884,25,41,28,0,0,0,0,0,0,0,Stable
Pancreatitis,Digestive system,0,,,0,0,0,0,0,100,0,884,7,23,65,0,0,0,0,0,0,0,Transfer
Peptic Ulcers (Stomach Ulcers),Digestive system,7,,,0,0,0,0,0,100,0,884,15,23,57,0,0,0,0,0,0,0,Stable
Proctitis,Digestive system,0,,,0,0,0,0,0,100,0,862,82,11,2,0,0,0,0,0,0,0,Stable
Short Bowel Syndrome,Digestive system,1,,,0,0,0,0,0,53,45,465,18,21,11,45,0,0,1,0,0,0,Stable
Ulcerative Colitis,Digestive system,41,,,1.3,0,0,17,0,18,48,293,4,7,3,48,16,0,0,1,0,0,Stable
Viral Gastroenteritis,Digestive system,176,Cluster 1,Cluster 1,0,0,0,18,0,13,51,252,3,6,3,51,16,0,0,0,0,0,Stable
Your Digestive System & How It Works,Digestive system,0,Cluster 1,Cluster 1,1.1,0,0,15,0,16,53,263,3,6,3,53,15,0,0,1,0,0,Transfer
Zollinger-Ellison Syndrom,Digestive system,0,Cluster 2,Cluster 1,2.1,0,0,14,0,20,49,296,4,9,4,49,15,0,1,2,0,0,Stable
sodium,Musculuskeletal sytem,0,Cluster 1,Cluster 1,2.4,0,0,14,0,18,52,276,4,8,4,52,14,0,0,2,0,0,Stable
immunodefici,Musculuskeletal sytem,0,Cluster 4,Cluster 1,0.3,0,0,13,0,20,51,287,4,8,5,51,15,0,1,0,0,0,Stable
neisseria gonorrhoea,Musculuskeletal sytem,93,Cluster 1,Cluster 1,1.2,0,0,14,0,20,50,292,4,9,5,50,14,0,1,1,0,0,Stable
down syndrom,Musculuskeletal sytem,41,Cluster 5,Cluster 1,0,0,0,10,0,22,45,331,6,9,5,45,22,0,0,0,0,0,Stable
hemoglobinopathi,Musculuskeletal sytem,427,Cluster 1,Cluster 1,0,0,0,7,0,21,44,331,6,8,5,44,28,0,0,0,0,0,Transfer
chest cold,Musculuskeletal sytem,0,Cluster 4,Cluster 1,0,0,0,0,0,21,54,300,6,8,5,54,26,0,0,0,0,0,Stable
 blindnesswater il,Musculuskeletal sytem,94,Cluster 1,Cluster 1,0,0,0,0,0,19,56,260,5,8,3,56,23,0,1,0,0,0,Stable
hyperthermia,Musculuskeletal sytem,0,Cluster 1,Cluster 1,0,0,0,0,0,18,61,258,5,7,4,61,22,0,0,0,0,0,Stable
colorectal cancer and genet,Musculuskeletal sytem,0,Cluster 1,Cluster 1,0,0,0,0,0,29,58,319,8,12,6,58,14,0,0,0,0,0,Stable
intellectual dis,Musculuskeletal sytem,0,Cluster 2,Cluster 1,0,0,0,6,0,15,48,288,4,6,4,48,30,0,0,0,0,0,Stable
newborn hear,Musculuskeletal sytem,2,Cluster 1,Cluster 1,0,0,0,0,0,13,59,239,4,5,3,59,28,0,0,0,0,0,Transfer
Bacterial Vaginosis (BV),Sexual Health,45,Cluster 4,Cluster 1,0,0,0,0,0,12,61,205,3,5,2,61,25,0,1,0,0,0,Stable
Chlamydia,Sexual Health,52,Cluster 1,Cluster 1,0,0,0,0,0,11,64,209,3,4,3,64,25,0,0,0,0,0,Stable
Gonorrhea,Sexual Health,109,Cluster 5,Cluster 1,0,0,0,0,0,6,75,137,2,2,1,75,20,0,0,0,0,0,Stable
Hepatitis,Sexual Health,140,Cluster 1,Cluster 1,0.3,0,0,9,0,13,52,260,4,5,3,52,25,0,0,0,0,0,Stable
Herpes,Sexual Health,12,Cluster 4,Cluster 1,0.1,0,0,2,0,9,57,222,2,4,2,57,32,0,0,0,0,0,Stable
HIV/AIDS & STDs,Sexual Health,250,Cluster 1,Cluster 1,0,0,0,0,0,8,62,197,2,3,2,62,30,0,0,0,0,0,Transfer
Human Papillomavirus (HPV),Sexual Health,119,Cluster 1,Cluster 1,0,0,0,0,0,8,63,184,2,4,1,63,27,0,0,0,0,0,Stable
Pelvic Inflammatory Disease (PID),Sexual Health,12,Cluster 1,Cluster 1,0,0,0,0,0,7,66,184,2,3,2,66,27,0,0,0,0,0,Stable
STDs & Infertility,Sexual Health,212,Cluster 2,Cluster 1,0,0,0,0,0,9,69,172,3,4,2,69,21,0,0,0,0,0,Stable
STDs during Pregnancyplus icon,Sexual Health,62,Cluster 1,Cluster 1,0,0,0,1,0,5,60,187,1,2,1,60,33,0,0,0,0,0,Stable
STD Risk and Oral Sex,Sexual Health,77,Cluster 4,Cluster 1,0,0,0,0,0,4,65,165,1,1,1,65,31,0,0,0,0,0,Stable
Syphilis,Sexual Health,23,Cluster 1,Cluster 1,0,0,0,0,0,3,67,148,1,1,0,67,29,0,0,0,0,0,Transfer
Trichomoniasis,Sexual Health,14,Cluster 5,Cluster 1,0,0,0,0,0,3,68,151,1,1,1,68,29,0,0,0,0,0,Stable
Chromosome abnormalities[1][2],Pregancy and Child Birth,0,Cluster 1,Cluster 1,0.1,0,0,2,0,14,57,245,4,5,3,57,27,0,0,0,0,0,Transfer
Ectopic pregnancy[3][4],Pregancy and Child Birth,0,Cluster 1,Cluster 1,0,0,0,0,0,11,63,216,3,4,3,63,27,0,0,0,0,0,Stable
Mendelian disorders[5],Pregancy and Child Birth,7,Cluster 1,Cluster 1,0,0,0,0,0,12,60,215,3,5,2,60,27,0,0,0,0,0,Stable
Spontaneous abortion[6][7],Pregancy and Child Birth,0,Cluster 2,Cluster 1,0,0,0,0,0,11,65,204,3,4,2,65,25,0,0,0,0,0,Stable
Nonmedelian disorders[8],Pregancy and Child Birth,1,Cluster 1,Cluster 1,0,0,0,0,0,9,72,161,2,3,2,72,19,0,0,0,0,0,Stable
Oligohydramnios[9],Pregancy and Child Birth,41,Cluster 4,Cluster 1,0,0,0,0,0,8,62,195,2,3,2,62,29,0,0,0,0,0,Stable
Hydramnios[10],Pregancy and Child Birth,176,Cluster 1,Cluster 1,0,0,0,0,0,6,67,172,1,2,1,67,28,0,0,0,0,0,Transfer
Abnormal labor and delivery[11],Pregancy and Child Birth,0,Cluster 5,Cluster 1,0,0,0,0,0,7,63,176,2,3,1,63,29,0,0,0,0,0,Stable
Chorioamnionitis[12],Pregancy and Child Birth,0,Cluster 1,Cluster 1,0,0,0,0,0,6,68,169,2,2,1,68,28,0,0,0,0,0,Stable
Shoulder dystocia[13],Pregancy and Child Birth,0,Cluster 4,Cluster 1,0,0,0,0,0,3,76,119,1,1,1,76,21,0,0,0,0,0,Stable
Breech delivery[14],Pregancy and Child Birth,0,Cluster 1,Cluster 1,0,0,0,4,0,13,48,277,4,4,3,48,33,0,0,0,0,0,Stable
Prior Cesarean delivery [15],Pregancy and Child Birth,33,Cluster 1,Cluster 1,0,0,0,0,0,5,68,157,1,1,1,68,27,0,0,0,0,0,Stable
Uterine rupture [16][17],Pregancy and Child Birth,41,Cluster 1,Cluster 1,0,0,0,2,0,4,75,124,1,1,1,75,18,0,0,0,0,0,Transfer
Hysterectomy after delivery[18],Pregancy and Child Birth,427,Cluster 2,Cluster 1,0.3,0,0,9,0,16,52,273,4,7,4,52,22,0,0,0,0,0,Stable
Postpartum infection [19],Pregancy and Child Birth,0,Cluster 1,Cluster 1,0.1,0,0,3,0,14,55,254,4,6,3,55,27,0,0,0,0,0,Stable
Postpartum depression,Pregancy and Child Birth,94,Cluster 4,Cluster 1,0,0,0,0,0,13,61,232,4,5,3,61,26,0,0,0,0,0,Stable
Septic pelvic thrombosis [20],Pregancy and Child Birth,0,Cluster 1,Cluster 1,0,0,0,0,0,13,64,220,4,5,3,64,24,0,0,0,0,0,Stable
Hypertension [21],Pregancy and Child Birth,0,Cluster 5,Cluster 1,0,0,0,0,0,12,70,187,3,5,3,70,18,0,0,0,0,0,Stable
Preeclampsia[21],Pregancy and Child Birth,0,Cluster 1,Cluster 1,0,0,0,1,0,9,61,208,2,3,2,61,28,0,0,0,0,0,Transfer
Eclampsia[22],Pregancy and Child Birth,2,Cluster 4,Cluster 1,0,0,0,0,0,8,65,191,2,3,2,65,27,0,0,0,0,0,Stable
Placental abruption[23],Pregancy and Child Birth,0,Cluster 1,Cluster 1,0,0,0,0,0,8,66,185,2,3,2,66,26,0,0,0,0,0,Stable
Placenta previa[24],Pregancy and Child Birth,0,Cluster 1,Cluster 1,0,0,0,0,0,4,76,120,1,1,1,76,20,0,0,0,0,0,Stable
Fetal-to-mother hemorrhage[25],Pregancy and Child Birth,0,Cluster 1,Cluster 1,0,0,0,10,0,15,50,277,4,6,4,50,24,0,0,0,0,0,Stable
Rh disease[26],Developmental Anomalies,6,Cluster 2,Cluster 1,0.1,0,0,2,0,12,55,246,3,5,3,55,30,0,0,0,0,0,Stable
Amniotic fluid embolism [24],Developmental Anomalies,0,Cluster 1,Cluster 1,0,0,0,0,0,11,61,222,3,4,2,61,29,0,0,0,0,0,Transfer
Delayed delivery[27],Developmental Anomalies,109,Cluster 4,Cluster 1,0,0,0,0,0,10,65,201,3,4,2,65,26,0,0,0,0,0,Stable
Fetal death[28],Developmental Anomalies,119,Cluster 1,Cluster 1,0,0,0,0,0,11,69,186,3,5,2,69,20,0,0,0,0,0,Stable
Incontinence,Developmental Anomalies,0,Cluster 5,Cluster 1,0,0,0,0,0,6,60,192,2,2,1,60,33,0,0,0,0,0,Stable
Preterm birth[29],Developmental Anomalies,0,Cluster 1,Cluster 1,0,0,0,0,0,5,65,173,1,2,1,65,31,0,0,0,0,0,Stable
Neonatal infection[24],Developmental Anomalies,62,Cluster 4,Cluster 1,0,0,0,0,0,4,68,159,1,1,1,68,29,0,0,0,0,0,Stable
Low birth-weight infant[24],Developmental Anomalies,45,Cluster 1,Cluster 1,0,0,0,0,0,2,75,114,0,0,0,75,23,0,0,0,0,0,Transfer
Premature rupture of membranes[30],Developmental Anomalies,0,Cluster 1,Cluster 1,0,0,0,9,0,18,49,291,5,7,4,49,23,0,0,0,0,0,Stable
Incompetent cervix[31],Developmental Anomalies,0,Cluster 1,Cluster 1,0,0,0,3,0,15,52,272,4,6,4,52,29,0,0,0,0,0,Stable
Posterm infant[32],Developmental Anomalies,0,Cluster 2,Cluster 1,0,0,0,0,0,15,66,213,4,6,3,66,18,0,0,0,0,0,Stable
Fetal growth restriction[33],Developmental Anomalies,0,Cluster 1,Cluster 1,0,0,0,0,0,13,60,234,4,5,3,60,27,0,0,0,0,0,Stable
Macrosomia[34],Developmental Anomalies,1,Cluster 4,Cluster 1,0,0,0,0,0,12,64,216,3,5,3,64,24,0,0,0,0,0,Stable
Twin pregnancy[35],Developmental Anomalies,4,Cluster 1,Cluster 1,0.3,0,0,9,0,17,49,289,5,7,4,49,23,0,0,0,0,0,Death
Triplets and more[36][37],Developmental Anomalies,6,Cluster 5,Cluster 1,0.1,0,0,3,0,15,52,269,4,6,3,52,29,0,0,0,0,0,Stable
Seizures[38],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Gestational trophoblastic disease[39],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Gestational diabetes[24],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Hyperemesis gravidarum,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Pelvic girdle pain,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
HELLP syndrome,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Acute fatty liver of pregnancy,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Deep vein thrombosis,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Pregnancy-induced hypercoagulability,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Immune tolerance in pregnancy,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Mastitis,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Peripartum cardiomyopathy,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Vertically transmitted infection,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Postpartum bleeding,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Perineal tear,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Fetal alcohol spectrum disorder,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Thyroid disease in pregnancy,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Pruritic urticarial papules and plaques of pregnancy,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Intrahepatic cholestasis of pregnancy,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Gestational pemphigoid,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Prurigo gestationis,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Lupus,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Cephalopelvic disproportion,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Stillbirth,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Molar pregnancy,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Obstetric fistula,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Uterine incarceration,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Twin to Twin transfusion syndrome[37],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Gestational trophoblastic disease[24],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Antiphospholipid antibody syndrome[40],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Hyperemesis gravidarum[41],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Acute fatty liver of pregnancy[42],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Gestational diabetes[24],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Hemoglobinopathies[43],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Postpartum thyroiditis[44],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Postpartum depression[45],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Hyperpigmentation[46],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Hair growth changes[24],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Herpes gestationitis[47],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Pruritic urticarial papaules of pregnancy[47],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Abnormality of maternal pelvic organs[48],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Postpartum acute renal failure[48],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Postpartum nephritis[48],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Haemorrhoids in pregnancy[48],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Obstetric embolism[48],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Pregnancy-related peripheral neuritis[48],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Obstetrical tetanus[48],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Unicornuate uterus,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Maternal death[48],Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
Arcuate uterus,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
,Developmental Anomalies,,,,,,,,,,,,,,,,,,,,,,
